year,natl_jail_pop,perc_jail_pop_aapi,perc_jail_pop_black,perc_jail_pop_latinx,perc_jail_pop_native,perc_jail_pop_white,perc_pop_aapi,perc_pop_black,perc_pop_latinx,perc_pop_native,perc_pop_white,rep_aapi,rep_black,rep_latinx,rep_native,rep_white
1970,160727.03,,,,,,,,,,,,,,,
1971,155678.98,,,,,,,,,,,,,,,
1972,156233.61,,,,,,,,,,,,,,,
1973,156788.03,,,,,,,,,,,,,,,
1974,157342.23,,,,,,,,,,,,,,,
1975,157896.17,,,,,,,,,,,,,,,
1976,158450.77,,,,,,,,,,,,,,,
1977,159005.26,,,,,,,,,,,,,,,
1978,160827.31,,,,,,,,,,,,,,,
1979,172564.9,,,,,,,,,,,,,,,
1980,186483.59,,,,,,,,,,,,,,,
1981,200402.25,,,,,,,,,,,,,,,
1982,214320.99,,,,,,,,,,,,,,,
1983,228826.66,,,,,,,,,,,,,,,
1984,243273.86,,,,,,,,,,,,,,,
1985,259277.09,0.27538106,33.53439365,12.05621754,0.479795573,34.42184961,,,,,,,,,,
1986,281767.87,0.305964623,33.20222423,12.51950409,0.51402596,34.70694157,,,,,,,,,,
1987,304226.25,0.302593875,33.34124192,12.93223382,0.541843447,34.39745255,,,,,,,,,,
1988,342160.98,0.439559181,40.74830508,15.05139481,0.709607507,43.53889798,,,,,,,,,,
1989,387442.22,0.557123072,42.6715963,14.87047282,0.773529534,42.23256051,,,,,,,,,,
1990,410883.22,0.558650217,41.6525844,14.77745428,0.875470164,40.45152538,3.019088415,11.57063986,8.96194813,0.701065718,75.74725788,18.50393696,359.9851427,164.8910937,124.8770466,53.40328681
1991,427633.18,0.435920337,40.53393144,14.33690903,0.760013524,39.7478278,3.169047062,11.64973719,9.236785289,0.71123254,75.23319792,13.75556527,347.938591,155.2153545,106.8586546,52.83283032
1992,450170.22,0.641230777,43.92841223,15.49831306,0.903440481,39.17244015,3.318271434,11.74596099,9.516041498,0.722005682,74.69772039,19.32424125,373.9873839,162.8651269,125.1292758,52.44127926
1993,473142.26,0.674279233,45.74622652,16.73853652,0.842960001,40.54237091,3.464375011,11.82484245,9.834694041,0.733906749,74.14218175,19.46322873,386.8654209,170.1988537,114.8592791,54.68192324
1994,488095.09,0.89744398,43.97951022,15.9420104,0.913899789,39.86294761,3.587019432,11.90836739,10.14975594,0.745656854,73.60920038,25.01921153,369.3160346,157.0679186,122.5630508,54.15484396
1995,518501.87,0.963593439,42.75360666,15.26849845,0.987552851,40.27521637,3.714833855,11.98930967,10.47693545,0.757728269,73.06119276,25.93907228,356.5977345,145.7343947,130.3307388,55.12532008
1996,526810.45,0.951716125,42.17621158,15.79231391,1.012798816,40.35565923,3.846643653,12.05898784,10.83867384,0.772534202,72.48316047,24.74146842,349.7491841,145.703378,131.1008384,55.67591006
1997,564332.99,1.065530477,42.36718467,15.88588149,1.015306583,40.67718246,3.978299964,12.12619814,11.22392309,0.784598487,71.88698032,26.783563,349.3855548,141.5359083,129.4046064,56.58490908
1998,593590.18,1.161498325,41.45678926,15.9883457,1.018778646,41.22619077,4.102593243,12.18645268,11.62366542,0.798437275,71.28885138,28.31132058,340.1875046,137.5499476,127.5965788,57.82978681
1999,613297.24,1.022520499,40.8367662,15.29285049,0.997938618,40.85576188,4.24465026,12.2423231,12.02665804,0.812681302,70.6736873,24.08962898,333.5704004,127.157939,122.7958137,57.80901414
2000,629518.09,1.009092527,40.75388207,15.45145589,1.076494879,41.25264613,4.399581115,12.28123198,12.47776937,0.829679521,70.01173802,22.9361046,331.8387124,123.831876,129.7482764,58.92247115
2001,641333.27,0.976836895,40.40014796,15.35439289,1.123673188,42.21435292,4.538720247,12.32174557,12.84415205,0.832152008,69.46323012,21.52229795,327.8768233,119.5438424,135.0322028,60.77222848
2002,665362.34,1.037721792,40.1353419,15.44632207,1.182436926,43.17764814,4.671242196,12.36739001,13.20645294,0.833982427,68.92093242,22.21511428,324.5255616,116.9604143,141.7819954,62.64809053
2003,694040.47,1.101731143,39.3541806,15.74579361,1.220457649,43.36769439,4.7965957,12.41626279,13.55745072,0.836087177,68.39360361,22.96902244,316.9567306,116.1412565,145.9725352,63.40899164
2004,719877.48,1.065232656,38.84954562,15.77808074,1.235506075,43.94692969,4.912192584,12.48777759,13.89148428,0.838128813,67.87041673,21.68548235,311.1005567,113.5809566,147.412433,64.75123008
2005,736739.51,0.996270717,38.7680525,15.83296517,1.23282244,44.75877369,5.027465087,12.55789733,14.25099221,0.839715373,67.32393,19.81656163,308.7145203,111.1007917,146.814323,66.48271082
2006,761822.76,1.028959807,38.23573215,15.89879252,1.251738659,44.68684947,5.143271143,12.63200149,14.62182119,0.840869427,66.76203675,20.00594132,302.6894209,108.7333261,148.8624296,66.93452095
2007,770011.79,0.941058318,38.38226815,16.52451841,1.268352008,44.01656499,5.256601434,12.708601,14.9976085,0.841739477,66.19544959,17.90240957,302.0180439,110.1810226,150.682253,66.49485012
2008,778200.76,0.970160965,38.4554893,16.88496937,1.282597051,43.30068889,5.373692511,12.79208525,15.39136134,0.842217239,65.60064366,18.053898,300.6193951,109.7041971,152.2881499,66.00650004
2009,772896.89,0.970816431,37.96879685,16.90024008,1.326231239,42.90950634,5.48158014,12.86430858,15.76680048,0.841570842,65.04573996,17.71052153,295.148368,107.1887737,157.5899702,65.96820386
2010,758631.83,0.997814711,37.42216827,16.42675209,1.357487202,43.62901567,5.586654947,12.93205851,16.10942113,0.840091703,64.53177371,17.86068265,289.3751853,101.9698471,161.5879787,67.60857972
