year,fips,state,county_name,total_pop,total_pop_15to64,aapi_pop_15to64,black_pop_15to64,latinx_pop_15to64,native_pop_15to64,white_pop_15to64,urbanicity,region,division,metro_area,land_area,total_jail_pop,aapi_jail_pop,black_jail_pop,latinx_jail_pop,native_jail_pop,white_jail_pop,other_race_jail_pop,aapi_jail_representation,black_jail_representation,latinx_jail_representation,native_jail_representation,white_jail_representation
1999,1001,AL,Autauga County,42963,28397,162,4755,387,136,22957,small/mid,South,East South Central,33860,594.45,103,0,64.89,0,0,51.78,0,0,376.2378549,0,0,62.18450028
2003,1001,AL,Autauga County,46800,30912,232,5242,501,153,24784,small/mid,South,East South Central,33860,594.45,130.33,0,64.96,1.33,0.67,66.93,,0,293.9217394,62.96462549,103.8642481,64.05191727
2008,1001,AL,Autauga County,53277,35356,353,6432,716,163,27692,small/mid,South,East South Central,33860,594.45,155,0,60.5,2,0.94,78.5,0,0,214.5560504,63.71598486,131.5441916,64.66164678
2013,1001,AL,Autauga County,54713,36126,481,6910,861,183,27691,small/mid,South,East South Central,33860,594.45,165,0,48,2,0.83,76,0,0,152.0894619,50.85840988,99.30312966,60.09120128
2018,1001,AL,Autauga County,55601,36279,571,7462,1063,153,27030,small/mid,South,East South Central,33860,594.45,165,0,48,2,0.83,76,0,0,141.4351502,41.36834003,119.2773619,61.82141055
1999,1003,AL,Baldwin County,137555,88567,406,9181,1586,627,76767,small/mid,South,East South Central,19300,1589.82,390,1.84,182,8,0,212,0,102.9198434,450.1826235,114.5497462,0,62.71459458
2003,1003,AL,Baldwin County,151509,98019,563,9964,2501,725,84266,small/mid,South,East South Central,19300,1589.82,531,0.94,229.33,6,0.94,280.67,5,30.82018244,424.8571178,44.28465902,23.93346581,61.48361042
2008,1003,AL,Baldwin County,175827,113235,975,11224,4482,828,95726,small/mid,South,East South Central,19300,1589.82,716.89,2,253.62,15.24,2.07,427.88,0,32.40063651,356.9143441,53.70828401,39.48827575,70.60252565
2013,1003,AL,Baldwin County,194886,123576,1448,12609,5446,938,103135,small/mid,South,East South Central,19300,1589.82,761,2,223,25.64,2.19,386,0,22.42905163,287.1928974,76.45217771,37.91322718,60.7758034
2018,1003,AL,Baldwin County,218022,134713,2041,13216,6294,1058,112104,small/mid,South,East South Central,19300,1589.82,643,1,165,34.64,0,461,6,10.26491908,261.5666975,115.3054087,0,86.15457636
1999,1005,AL,Barbour County,28866,18984,61,8636,299,92,9896,rural,South,East South Central,,885,81,0,66,2,3,11,0,0,179.1158458,156.7694785,764.2512077,26.05167819
2003,1005,AL,Barbour County,28594,19275,92,9037,564,85,9497,rural,South,East South Central,,885,96.33,0,72,3.33,3.44,17.67,0,0,159.4193524,118.1402692,809.7898767,37.22913433
2008,1005,AL,Barbour County,27808,18877,95,9070,857,57,8798,rural,South,East South Central,,885,96,0,50.62,5.5,3.66,43.88,0,0,109.7429415,126.1954249,1262.60636,98.07185819
2013,1005,AL,Barbour County,26944,17838,107,8924,715,53,8039,rural,South,East South Central,,885,111,0,10,8,3.66,82,0,0,18.00792276,179.8072198,1109.758287,163.9211546
2018,1005,AL,Barbour County,24881,15808,95,8056,641,69,6947,rural,South,East South Central,,885,111,0,10,8,3.66,82,0,0,17.67805541,177.7402988,755.4155895,168.1010793
1999,1007,AL,Bibb County,20560,13763,8,3036,72,12,10635,suburban,South,East South Central,13820,622.46,40,0,20,0,0,18,0,0,226.6633729,0,0,58.23554302
2003,1007,AL,Bibb County,21399,14387,17,3209,204,39,10918,suburban,South,East South Central,13820,622.46,53.33,0,27.33,5.33,0,32,0,0,229.7569062,704.8483729,0,79.06887293
2008,1007,AL,Bibb County,22705,15527,22,3731,268,47,11459,suburban,South,East South Central,13820,622.46,63.75,0,26.88,6.84,0,43.12,0,0,175.4734356,621.6252853,0,91.6514619
2013,1007,AL,Bibb County,22516,15363,33,3782,363,56,11129,suburban,South,East South Central,13820,622.46,70,0,20,4.91,0,50,0,0,116.061041,296.8608028,0,98.6033914
2018,1007,AL,Bibb County,22400,14928,53,3580,390,55,10850,suburban,South,East South Central,13820,622.46,83,0,18,1,0,64,0,0,90.43010029,46.11677479,0,106.089834
1999,1009,AL,Blount County,50237,33226,58,373,1467,154,31174,suburban,South,East South Central,13820,644.82,87,0,13,8,0,67,0,0,1331.046809,208.2661464,0,82.08070533
2003,1009,AL,Blount County,53457,35199,76,472,2001,177,32473,suburban,South,East South Central,13820,644.82,101,0,5.67,4.67,0,95,0,0,418.6489554,81.33523832,0,101.9553792
2008,1009,AL,Blount County,57055,37280,107,523,2723,193,33734,suburban,South,East South Central,13820,644.82,117.75,0,5.38,5.62,0,106,0,0,325.6833636,65.34369096,0,99.48394817
2013,1009,AL,Blount County,57611,36830,135,628,3041,196,32830,suburban,South,East South Central,13820,644.82,134,0,11,10,0,101,0,0,481.4264664,90.38169887,0,84.55658048
2018,1009,AL,Blount County,57840,36295,144,597,3473,194,31887,suburban,South,East South Central,13820,644.82,134,0,11,10,0,101,0,0,499.0687267,77.98969449,0,85.79257724
1999,1011,AL,Bullock County,11755,7619,3,5588,110,17,1901,rural,South,East South Central,,622.81,28,0,28,0,0,0,0,0,136.3457409,0,0,0
2003,1011,AL,Bullock County,11316,7535,12,5312,395,35,1781,rural,South,East South Central,,622.81,28.67,0,38,0,0,2.67,0,0,188.0100626,0,0,39.40060637
2008,1011,AL,Bullock County,10953,7472,20,5294,482,18,1658,rural,South,East South Central,,622.81,33.43,0,35.88,0,0,2.88,0,0,151.4847742,0,0,38.82473036
2013,1011,AL,Bullock County,10551,7193,23,5134,471,20,1545,rural,South,East South Central,,622.81,32,0,24,0,0,1,0,0,105.0788859,0,0,14.54894822
2018,1011,AL,Bullock County,10138,6678,15,4722,489,20,1432,rural,South,East South Central,,622.81,32,0,24,0,0,1,0,0,106.0673443,0,0,14.57314944
1999,1013,AL,Butler County,21605,13396,9,5441,43,14,7889,rural,South,East South Central,,776.83,40,0,35,0,0,9,0,0,215.4291491,0,0,38.20636329
2003,1013,AL,Butler County,20833,13046,56,5390,92,35,7473,rural,South,East South Central,,776.83,51.33,0,35.67,0,0,13,0,0,168.1978554,0,0,44.21345769
2008,1013,AL,Butler County,20949,13364,106,5861,117,36,7244,rural,South,East South Central,,776.83,52.71,0,47.62,0.38,0,19.5,0,0,205.9971066,82.34574928,0,68.24952301
2013,1013,AL,Butler County,20374,12833,157,5798,160,46,6672,rural,South,East South Central,,776.83,77,0,67,1,0,27,0,0,192.5901453,104.163961,0,67.44429132
2018,1013,AL,Butler County,19680,12046,209,5638,170,45,5984,rural,South,East South Central,,776.83,77,0,67,1,0,27,0,0,185.9096207,92.02444614,0,70.58693312
1999,1015,AL,Calhoun County,114910,76703,621,13952,1201,346,60583,small/mid,South,East South Central,11500,605.89,347,1,167,1,0,162,0,35.59518672,264.5835743,18.40517148,0,59.10811571
2003,1015,AL,Calhoun County,112705,75047,676,14480,1489,386,58016,small/mid,South,East South Central,11500,605.89,394.33,1.39,219.67,13.01,0,182.33,0,39.13286292,288.7192264,166.2861645,0,59.81138606
2008,1015,AL,Calhoun County,117274,78571,734,16648,2269,424,58496,small/mid,South,East South Central,11500,605.89,447.62,1.59,224.38,11.66,0,264.08,0,38.02365511,236.5782823,90.20214232,0,79.24322452
2013,1015,AL,Calhoun County,116541,77011,821,16715,2491,359,56625,small/mid,South,East South Central,11500,605.89,502,1.8,210,15,0,299.22,0,33.63399023,192.7356086,92.37757921,0,81.06463829
2018,1015,AL,Calhoun County,114277,73743,874,16438,2744,334,53353,small/mid,South,East South Central,11500,605.89,497,1.8,210,15,0,304,0,30.55803931,189.554776,81.10947023,0,84.54329146
1999,1017,AL,Chambers County,36527,23087,14,8933,134,23,13983,rural,South,East South Central,46740,596.53,130,0,77,1,0,35,0,0,153.0796786,132.5315729,0,44.45205442
2003,1017,AL,Chambers County,35680,22699,75,8924,252,36,13412,rural,South,East South Central,46740,596.53,130,0,81.67,1.03,0,39.67,0,0,159.7961702,71.36742979,0,51.64544553
2008,1017,AL,Chambers County,34563,22401,103,8981,345,46,12926,rural,South,East South Central,46740,596.53,137.12,0,78.38,1.03,0,49.88,0,0,142.5762422,48.77359089,0,63.04184207
2013,1017,AL,Chambers County,34143,22048,234,9053,409,49,12303,rural,South,East South Central,46740,596.53,149,0,69,1,0,63,0,0,112.7819248,36.17925535,0,75.77264671
2018,1017,AL,Chambers County,33615,21258,355,8878,469,44,11512,rural,South,East South Central,46740,596.53,149,0,69,1,0,63,0,0,110.8843064,30.42028591,0,78.07750069
1999,1019,AL,Cherokee County,23605,15482,16,890,86,40,14450,rural,South,East South Central,,553.76,45,0,6,18,0,28,0,0,231.9400749,7200.930233,0,66.66605152
2003,1019,AL,Cherokee County,24591,16123,34,856,149,63,15021,rural,South,East South Central,,553.76,101.67,0,27.33,9.33,0,53.33,0,0,506.312789,992.9980731,0,56.30225222
2008,1019,AL,Cherokee County,25636,16696,34,866,168,78,15550,rural,South,East South Central,,553.76,75,0,10,12,0,50,0,0,257.0592764,1590.095238,0,71.57984995
2013,1019,AL,Cherokee County,26025,16365,44,788,231,80,15222,rural,South,East South Central,,553.76,121,0,13,3,0,90,0,0,223.124764,175.6466674,0,79.96527427
2018,1019,AL,Cherokee County,26032,16016,49,785,258,89,14835,rural,South,East South Central,,553.76,125,0,9,2,0,109,0,0,146.8983439,99.32403101,0,94.14190765
1999,1021,AL,Chilton County,38862,25483,38,2553,599,59,22234,suburban,South,East South Central,13820,692.85,65,0,38.82,0,0,33.6,0,0,596.1312845,0,0,59.24597809
2003,1021,AL,Chilton County,41079,27109,64,2667,1170,89,23119,suburban,South,East South Central,13820,692.85,179,0,92,4,0,80,0,0,522.4265961,51.77672731,0,52.4060478
2008,1021,AL,Chilton County,43239,28455,104,2744,1815,89,23703,suburban,South,East South Central,13820,692.85,172,0,35,9,0,104,0,0,211.0153654,82.03440323,0,72.58722034
2013,1021,AL,Chilton County,43634,28374,144,2913,2059,108,23150,suburban,South,East South Central,13820,692.85,200,0.78,50,9,0,141,0,76.84625,243.5118435,62.01214182,0,86.40894168
2018,1021,AL,Chilton County,44153,28119,147,2985,2171,96,22720,suburban,South,East South Central,13820,692.85,170,0.62,28,4,0,126,0,69.76302521,155.1545965,30.47551955,0,91.7303749
1999,1023,AL,Choctaw County,15931,10216,2,4436,34,3,5741,rural,South,East South Central,,913.47,35,0,26,1,0,13,0,0,171.0781914,858.487395,0,66.09500585
2003,1023,AL,Choctaw County,15199,9750,4,4326,62,13,5345,rural,South,East South Central,,913.47,31.67,0,16,0.72,0,12.33,0,0,113.8649395,357.5175448,0,71.01856936
2008,1023,AL,Choctaw County,14114,8964,10,4100,46,16,4792,rural,South,East South Central,,913.47,28.88,0,10.25,0.52,0,10.5,0,0,77.59695291,350.8731784,0,68.01068494
2013,1023,AL,Choctaw County,13396,8411,22,3782,50,23,4534,rural,South,East South Central,,913.47,27,0,9,0.42,0,8,0,0,74.13185264,261.6755556,0,54.96577301
2018,1023,AL,Choctaw County,12841,7824,17,3373,64,17,4353,rural,South,East South Central,,913.47,27,0,9,0.42,0,8,0,0,77.31989327,190.1666667,0,53.25573678
